ID;dolzhnosti;FIO;Login;Password;Posledni_vxod;Time_vxoda;Tip_vxoda
101;1;Иванов Иван Иванович;Ivanov@namecomp.ru;2L6KZG;15:05:2022;13:13:00;1
102;1;Петров Петр Петрович;petrov@namecomp.ru;uzWC67;15:05:2022;13:13:00;1
103;2;Федоров Федор Федорович;fedorov@namecomp.ru;8ntwUp;15:05:2022;13:13:00;1
104;3;Миронов Вениамин Куприянович;mironov@namecomp.ru;YOyhfR;15:05:2022;13:13:00;1
105;3;Ширяев Ермолай Вениаминович;shiryev@namecomp.ru;RSbvHv;15:05:2022;13:13:00;2
106;3;Игнатов Кассиан Васильевич;ignatov@namecomp.ru;rwVDh9;15:05:2022;13:13:00;1
107;1;Хохлов Владимир Мэлсович;hohlov@namecomp.ru;LdNyos;15:05:2022;13:13:00;1
108;1;Стрелков Мстислав Георгьевич;strelkov@namecomp.ru;gynQMT;15:05:2022;13:13:00;2
109;1;Беляева Лилия Наумовна;belyeva@namecomp.ru;AtnDjr;15:05:2022;13:13:00;1
110;1;Смирнова Ульяна Гордеевна;smirnova@namecomp.ru;JlFRCZ;15:05:2022;13:13:00;1
