ID;Fio;Kod_clienta;Seria_pasporta;Nomer_pasporta;Data_rozhdenia;Adress;e-mail;password
1;Фролов Андрей Иванович;45462526;1180;176596;14.07.2001;344288, г. Санкт-Петербург, ул. Чехова, 1, кв. 34;gohufreilagrau-3818@yopmail.com;cl12345
2;Николаев Даниил Всеволодович;45462527;2280;223523;10.02.2001;614164, г. Санкт-Петербург, ул. Степная, 30, кв. 75;xawugosune-1385@yopmail.com;cl12346
3;Снегирев Макар Иванович;45462528;4560;354155;21.05.1998;394242, г. Санкт-Петербург, ул. Коммунистическая, 43, кв. 57;satrahuddusei-4458@yopmail.com;cl12347
4;Иванов Иван Ильич;45462529;9120;554296;01.10.1998;660540, г. Санкт-Петербург, ул. Солнечная, 25, кв. 78;boippaxeufrepra-7093@yopmail.com;cl12348
5;Филиппова Анна Глебовна;45462530;2367;558134;31.05.1976;125837, г. Санкт-Петербург, ул. Шоссейная, 40, кв. 92;zapramaxesu-7741@yopmail.com;cl12349
6;Иванов Михаил Владимирович;45462531;7101;669343;04.11.1985;125703, г. Санкт-Петербург, ул. Партизанская, 49, кв. 84;rouzecroummegre-3899@yopmail.com;cl12350
7;Власов Дмитрий Александрович;45462532;3455;719630;17.08.1998;625283, г. Санкт-Петербург, ул. Победы, 46, кв. 7;ziyeuddocrabri-4748@yopmail.com;cl12351
8;Серова Екатерина Львовна;45462533;2377;871623;24.10.1984;614611, г. Санкт-Петербург, ул. Молодежная, 50, кв. 78;ketameissoinnei-1951@yopmail.com;cl12352
9;Борисова Ирина Ивановна;45462534;8755;921148;14.10.1976;454311, г. Санкт-Петербург, ул. Новая, 19, кв. 78;yipraubaponou-5849@yopmail.com;cl12353
10;Зайцев Никита Артёмович;45462535;4355;104594;14.10.1999;660007, г. Санкт-Петербург, ул. Октябрьская, 19, кв. 42;crapedocouca-3572@yopmail.com;cl12354
11;Медведев Святослав Евгеньевич;45462536;2791;114390;13.07.1985;603036, г. Санкт-Петербург, ул. Садовая, 4, кв. 13;ceigoixakaunni-9227@yopmail.com;cl12355
